province ID,province ,town,lat,lon,local media survey locations,local media control locations,MMC Panels,youth festival panels
,,,,,,,,
20,Herat,Herat,34.363440,62.209000,yes,no,no,no
22,Farah,Farah,32.374645,62.088962,yes,no,yes,no
23,Helmand,Lashkargah,31.58,64.3774,yes,no,no,no
24,Kandahar,Kandahar,31.614540,65.699140,yes,no,yes,yes
7,Paktya,Gardez,33.35455,63.1315,yes,no,no,no
10,Kunar,Khas Kunar,34.64419,70.881004,yes,no,no,no
10,Kunar,Narang,34.7533,71.0175,no,yes,no,no
3,Parwan,Charikar,35.014097,69.170993,yes,no,no,no
12,Takhar,Cha Ab,37.39904,69.812553,yes,no,no,no
1,Kabul,Kabul,34.518240,69.160830,yes,no,no,yes
16,Balkh,Mazar-i-Sharif,36.709480,67.115420,yes,no,yes,no
18,Faryab,Maimana,35.550580,64.465190,no,yes,no,no
17,Jawzjan,Shiberghan,36.666135,65.74482,yes,no,no,no
